activity_comment,activity_id,activity_properties,assay_chembl_id,assay_description,assay_type,assay_variant_accession,assay_variant_mutation,bao_endpoint,bao_format,bao_label,canonical_smiles,data_validity_comment,data_validity_description,document_chembl_id,document_journal,document_year,ligand_efficiency,molecule_chembl_id,molecule_pref_name,parent_molecule_chembl_id,pchembl_value,potential_duplicate,qudt_units,record_id,relation,src_id,standard_flag,standard_relation,standard_text_value,standard_type,standard_units,standard_upper_value,standard_value,target_chembl_id,target_organism,target_pref_name,target_tax_id,text_value,toid,type,units,uo_units,upper_value,value
,32937,[],CHEMBL675350,Compound was tested for its activity against human leukocyte elastase(HLE),B,,,BAO_0000190,BAO_0000357,single protein format,O=C1C[C@H](Cc2ccccc2)N1C(=O)NCc1ccncc1,,,CHEMBL1131042,J. Med. Chem.,1998.0,,CHEMBL97927,,CHEMBL97927,,0,http://www.openphacts.org/units/Nanomolar,181703,>,1,1,>,,IC50,nM,,75000.0,CHEMBL248,Homo sapiens,Leukocyte elastase,9606,,,IC50,uM,UO_0000065,,75.0
,35188,[],CHEMBL676202,The compound was evaluated for its inhibitory activity against human neutrophil elastase (HNE),B,,,BAO_0000190,BAO_0000357,single protein format,CC(C)[C@@H]1C(=O)N(S(C)(=O)=O)[C@@H]2CCN(C(=O)c3cnc(CNC4CC4)cn3)[C@@H]12.Cl,,,CHEMBL1135761,J. Med. Chem.,2002.0,"{'bei': '18.88', 'le': '0.37', 'lle': '7.57', 'sei': '7.07'}",CHEMBL543416,,CHEMBL1192214,7.96,0,http://www.openphacts.org/units/Nanomolar,242514,=,1,1,=,,IC50,nM,,11.0,CHEMBL248,Homo sapiens,Leukocyte elastase,9606,,,IC50,uM,UO_0000065,,0.011
,35192,[],CHEMBL676203,The compound was evaluated for its inhibitory activity against human neutrophil elastase (HNE) using whole blood assay,B,,,BAO_0000190,BAO_0000221,tissue-based format,CC(C)[C@@H]1C(=O)N(S(C)(=O)=O)[C@@H]2CCN(C(=O)c3cnc(CNC4CC4)cn3)[C@@H]12.Cl,,,CHEMBL1135761,J. Med. Chem.,2002.0,"{'bei': '16.19', 'le': '0.32', 'lle': '6.43', 'sei': '6.06'}",CHEMBL543416,,CHEMBL1192214,6.82,0,http://www.openphacts.org/units/Nanomolar,242514,=,1,1,=,,IC50,nM,,150.0,CHEMBL248,Homo sapiens,Leukocyte elastase,9606,,,IC50,uM,UO_0000065,,0.15
,35193,[],CHEMBL752072,The compound was evaluated for its inhibitory activity against dog neutrophil elastase using whole blood assay,B,,,BAO_0000190,BAO_0000221,tissue-based format,CC(C)[C@@H]1C(=O)N(S(C)(=O)=O)[C@@H]2CCN(C(=O)c3cnc(CNC4CC4)cn3)[C@@H]12.Cl,,,CHEMBL1135761,J. Med. Chem.,2002.0,"{'bei': '15.62', 'le': '0.31', 'lle': '6.20', 'sei': '5.85'}",CHEMBL543416,,CHEMBL1192214,6.58,0,http://www.openphacts.org/units/Nanomolar,242514,=,1,1,=,,IC50,nM,,260.0,CHEMBL248,Homo sapiens,Leukocyte elastase,9606,,,IC50,uM,UO_0000065,,0.26
,35431,[],CHEMBL675350,Compound was tested for its activity against human leukocyte elastase(HLE),B,,,BAO_0000190,BAO_0000357,single protein format,CS[C@@H]1C(=O)N(C(=O)NCc2ccncc2)[C@H]1Cc1ccccc1,,,CHEMBL1131042,J. Med. Chem.,1998.0,,CHEMBL95260,,CHEMBL95260,,0,http://www.openphacts.org/units/Nanomolar,181715,<,1,1,<,,IC50,nM,,200.0,CHEMBL248,Homo sapiens,Leukocyte elastase,9606,,,IC50,uM,UO_0000065,,0.2
,46161,[],CHEMBL675350,Compound was tested for its activity against human leukocyte elastase(HLE),B,,,BAO_0000190,BAO_0000357,single protein format,C=CC[C@@H]1C(=O)N(C(=O)NCc2ccncc2)[C@H]1Cc1ccccc1,,,CHEMBL1131042,J. Med. Chem.,1998.0,"{'bei': '19.45', 'le': '0.36', 'lle': '3.58', 'sei': '10.47'}",CHEMBL95813,,CHEMBL95813,6.52,0,http://www.openphacts.org/units/Nanomolar,181717,=,1,1,=,,IC50,nM,,300.0,CHEMBL248,Homo sapiens,Leukocyte elastase,9606,,,IC50,uM,UO_0000065,,0.3
,46174,[],CHEMBL675350,Compound was tested for its activity against human leukocyte elastase(HLE),B,,,BAO_0000190,BAO_0000357,single protein format,C[C@@H]1C(=O)N(C(=O)NCc2ccncc2)[C@H]1Cc1ccccc1,,,CHEMBL1131042,J. Med. Chem.,1998.0,"{'bei': '14.88', 'le': '0.27', 'lle': '2.22', 'sei': '7.39'}",CHEMBL330647,,CHEMBL330647,4.60,0,http://www.openphacts.org/units/Nanomolar,181686,=,1,1,=,,IC50,nM,,25000.0,CHEMBL248,Homo sapiens,Leukocyte elastase,9606,,,IC50,uM,UO_0000065,,25.0
,50141,[],CHEMBL675350,Compound was tested for its activity against human leukocyte elastase(HLE),B,,,BAO_0000190,BAO_0000357,single protein format,C[C@H]1C(=O)N(C(=O)NCc2ccncc2)[C@H]1Cc1ccccc1,,,CHEMBL1131042,J. Med. Chem.,1998.0,"{'bei': '14.36', 'le': '0.26', 'lle': '2.06', 'sei': '7.13'}",CHEMBL318052,,CHEMBL318052,4.44,0,http://www.openphacts.org/units/Nanomolar,181702,=,1,1,=,,IC50,nM,,36000.0,CHEMBL248,Homo sapiens,Leukocyte elastase,9606,,,IC50,uM,UO_0000065,,36.0
,51352,[],CHEMBL675350,Compound was tested for its activity against human leukocyte elastase(HLE),B,,,BAO_0000190,BAO_0000357,single protein format,CC[C@@H]1C(=O)N(C(=O)NCc2ccncc2)[C@H]1Cc1ccccc1,,,CHEMBL1131042,J. Med. Chem.,1998.0,"{'bei': '18.31', 'le': '0.34', 'lle': '3.15', 'sei': '9.50'}",CHEMBL319173,,CHEMBL319173,5.92,0,http://www.openphacts.org/units/Nanomolar,181700,=,1,1,=,,IC50,nM,,1200.0,CHEMBL248,Homo sapiens,Leukocyte elastase,9606,,,IC50,uM,UO_0000065,,1.2
,54831,[],CHEMBL676202,The compound was evaluated for its inhibitory activity against human neutrophil elastase (HNE),B,,,BAO_0000190,BAO_0000357,single protein format,CC(C)[C@@H]1C(=O)N(S(C)(=O)=O)[C@@H]2CCN(C(=O)/C=C/CN3CCCCC3)[C@@H]12.Cl,,,CHEMBL1135761,J. Med. Chem.,2002.0,"{'bei': '19.26', 'le': '0.39', 'lle': '6.59', 'sei': '9.82'}",CHEMBL2368616,,CHEMBL2367812,7.66,1,http://www.openphacts.org/units/Nanomolar,242515,=,1,1,=,,IC50,nM,,22.0,CHEMBL248,Homo sapiens,Leukocyte elastase,9606,,,IC50,uM,UO_0000065,,0.022
