molecule_chembl_id,canonical_smiles,standard_value
CHEMBL97927,O=C1C[C@H](Cc2ccccc2)N1C(=O)NCc1ccncc1,75000.0
CHEMBL543416,CC(C)[C@@H]1C(=O)N(S(C)(=O)=O)[C@@H]2CCN(C(=O)c3cnc(CNC4CC4)cn3)[C@@H]12.Cl,11.0
CHEMBL95260,CS[C@@H]1C(=O)N(C(=O)NCc2ccncc2)[C@H]1Cc1ccccc1,200.0
CHEMBL95813,C=CC[C@@H]1C(=O)N(C(=O)NCc2ccncc2)[C@H]1Cc1ccccc1,300.0
CHEMBL330647,C[C@@H]1C(=O)N(C(=O)NCc2ccncc2)[C@H]1Cc1ccccc1,25000.0
CHEMBL318052,C[C@H]1C(=O)N(C(=O)NCc2ccncc2)[C@H]1Cc1ccccc1,36000.0
CHEMBL319173,CC[C@@H]1C(=O)N(C(=O)NCc2ccncc2)[C@H]1Cc1ccccc1,1200.0
CHEMBL2368616,CC(C)[C@@H]1C(=O)N(S(C)(=O)=O)[C@@H]2CCN(C(=O)/C=C/CN3CCCCC3)[C@@H]12.Cl,22.0
CHEMBL554013,CC(C)[C@@H]1C(=O)N(S(C)(=O)=O)[C@@H]2CCN(C(=O)C3CN(CC(C)(C)C)C3)[C@@H]12.Cl,37.0
CHEMBL542949,CC(C)[C@@H]1C(=O)N(S(C)(=O)=O)[C@@H]2CCN(C(=O)c3coc(CN4CCCC4)n3)[C@@H]12.Cl,10.0
CHEMBL99558,CC1(C)C(=O)N(C(=O)NCc2ccncc2)[C@H]1Cc1ccccc1,3000.0
CHEMBL318482,CO[C@@H]1C(=O)N(C(=O)NCc2ccncc2)[C@H]1Cc1ccccc1,900.0
CHEMBL311340,CCCO[C@H]1C(=O)N2C(C(=O)OC(C)(C)C)=C(COC(C)=O)CS(=O)(=O)[C@H]12,40000.0
CHEMBL2115202,CO[C@H]1C(=O)N2C(C(=O)OC(C)(C)C)=C(COC(C)=O)C[S@+]([O-])[C@H]12,4000.0
CHEMBL83046,CO[C@H]1C(=O)N2C(C(=O)OC(C)(C)C)=C(COC(C)=O)CS[C@H]12,10000.0
CHEMBL406129,CC(=O)OCC1=C(C(=O)OC(C)(C)C)N2C(=O)[C@H](OC(=O)c3ccccc3)[C@H]2S(=O)(=O)C1,40000.0
CHEMBL457155,CC(C)=CC(=O)C[C@H]1C(=O)O[C@H]2C[C@]3(C)C4=CC[C@H]5[C@]6(C)C(=O)O[C@@H]6CC[C@]5(C)[C@H]4CC[C@@]3(C)[C@@H]21,10000.0
CHEMBL313754,CC(=O)OCC1=C(C(=O)OC(C)(C)C)N2C(=O)[C@H](OC=O)[C@H]2S(=O)(=O)C1,300.0
CHEMBL85352,CCCC[C@H]1C(=O)N2C(C(=O)OC(C)(C)C)=C(COC(C)=O)CS(=O)(=O)[C@H]12,40000.0
