molecule_chembl_id,canonical_smiles,standard_value
CHEMBL77052,C[C@@H]1CC[C@H]2[C@@H](C)[C@@H](OCCC3ON3C(=O)c3ccccc3O)O[C@@H]3O[C@@]4(C)CC[C@@H]1[C@@]23OO4,4.25
CHEMBL307145,Oc1cccc(O)c1O,5660.0
CHEMBL16300,O=C(NO)c1ccccc1,17600.0
CHEMBL307153,C[C@@H]1CC[C@H]2[C@@H](C)[C@@H](OCCCOc3coc(CO)cc3=O)O[C@@H]3O[C@@]4(C)CC[C@@H]1[C@@]23OO4,9.55
CHEMBL339049,CC(C)(C)NCc1cc(Nc2ccnc3cc(Cl)ccc23)cc(-c2ccc(Cl)cc2)c1O,18.0
CHEMBL316098,CC(C)(C)NCc1cc(Nc2ccnc3cc(Cl)ccc23)ccc1O,1.47
CHEMBL93286,CC(C)(C)NCc1cc(Nc2ccnc3cc(Cl)ccc23)cc(C2CCCCC2)c1O,6.8
CHEMBL305899,C[C@@H]1CC[C@H]2[C@@H](C)[C@@H](OCCCOc3c(O)cccc3O)O[C@@H]3O[C@@]4(C)CC[C@@H]1[C@@]23OO4,7.67
CHEMBL337981,CC(C)(C)NCc1cc(Nc2ccnc3cc(Cl)ccc23)cc(-c2ccc(Cl)cc2)c1F,58.0
CHEMBL252518,C[C@@H]1CC[C@H]2[C@@H](C)[C@@H](O)O[C@@H]3O[C@]4(C)CC[C@@H]1[C@@]23OO4,1.1
CHEMBL306763,C[C@@H]1CC[C@H]2[C@@H](C)[C@@H](OCCCBr)O[C@@H]3O[C@@]4(C)CC[C@@H]1[C@@]23OO4,3.68
CHEMBL327539,CCc1cc(Nc2ccnc3cc(Cl)ccc23)cc(CNC(C)(C)C)c1O,2.97
CHEMBL287556,O=c1cc(CO)occ1O,1580000.0
CHEMBL77491,C[C@@H]1CC[C@H]2[C@@H](C)[C@@H](OCCCONC(=O)c3ccccc3O)O[C@@H]3O[C@@]4(C)CC[C@@H]1[C@@]23OO4,52.45
CHEMBL92652,Cc1cc(Nc2ccnc3cc(Cl)ccc23)cc(CNC(C)(C)C)c1O,2.99
CHEMBL17001,COC(=O)/C=C/c1ccc(O)c(O)c1,46500.0
CHEMBL567597,C[C@@H]1CC[C@H]2[C@@H](C)C(=O)O[C@@H]3O[C@]4(C)CC[C@@H]1[C@]32OO4,5.82
CHEMBL75471,COC(=O)/C=C/c1ccc(OCCCO[C@H]2O[C@@H]3O[C@@]4(C)CC[C@H]5[C@H](C)CC[C@@H]([C@H]2C)[C@]53OO4)c(O)c1,4.78
CHEMBL96500,CCCc1cc(Nc2ccnc3cc(Cl)ccc23)cc(CNC(C)(C)C)c1O,0.98
CHEMBL307138,C[C@@H]1CC[C@H]2[C@@H](C)[C@@H](OCCCONC(=O)c3ccccc3)O[C@@H]3O[C@@]4(C)CC[C@@H]1[C@@]23OO4,23.64
CHEMBL76,CCN(CC)CCCC(C)Nc1ccnc2cc(Cl)ccc12,250.0
CHEMBL33458,CCOc1ccc(C(=O)/C=C/c2ccccc2)cc1,43000.0
CHEMBL276473,O=C(/C=C/c1ccccc1)c1ccc(O)cc1,29600.0
CHEMBL309339,O=C(NO)c1ccccc1O,107000.0
CHEMBL77931,C[C@@H]1CC[C@H]2[C@@H](C)[C@@H](OCCCOc3cccc(O)c3O)O[C@@H]3O[C@@]4(C)CC[C@@H]1[C@@]23OO4,12.7
CHEMBL145,O=C(O)/C=C/c1ccc(O)c(O)c1,122000.0
CHEMBL74084,CCN(CC)C(=S)SCCCO[C@H]1O[C@@H]2O[C@@]3(C)CC[C@H]4[C@H](C)CC[C@@H]([C@H]1C)[C@]42OO3,7.65
CHEMBL328154,CC(C)c1cc(Nc2ccnc3cc(Cl)ccc23)cc(CNC(C)(C)C)c1O,1.24
CHEMBL330342,CC(C)(C)NCc1cc(Nc2ccnc3cc(Cl)ccc23)cc(C(C)(C)C)c1O,8.35
CHEMBL33298,COc1ccc(C(=O)/C=C/c2ccccc2)c(OC)c1OC,15800.0
CHEMBL76817,C[C@@H]1CC[C@H]2[C@@H](C)[C@@H](OCCC3Oc4cccc(O)c4O3)O[C@@H]3O[C@@]4(C)CC[C@@H]1[C@@]23OO4,6.64
CHEMBL73090,COc1ccc(C(=O)/C=C/c2ccccc2)c(OC)c1,55500.0
CHEMBL1630,CCN(CC)Cc1cc(Nc2ccnc3cc(Cl)ccc23)ccc1O.Cl,2.47
CHEMBL328331,CCC(C)c1cc(Nc2ccnc3cc(Cl)ccc23)cc(CNC(C)(C)C)c1O,1.97
CHEMBL177301,N=C(N)c1cccc(NC(=O)Nc2cccc(S(=O)(=O)NCc3ccc(S(N)(=O)=O)cc3)c2)c1,980.0
CHEMBL176108,CNS(=O)(=O)c1ccc(NC(=O)Nc2cccc(C(=N)N)c2)cc1,3000.0
CHEMBL175846,N=C(N)c1cccc(NC(=O)Nc2ccc(S(=O)(=O)Nc3ccc4ccccc4c3)cc2)c1,8200.0
CHEMBL174908,N=C(N)c1cccc(NC(=O)Nc2ccc(S(=O)(=O)NCc3c(F)ccc(F)c3F)cc2)c1,17.0
CHEMBL360908,N=C(N)c1cccc(NC(=O)Nc2ccc(S(=O)(=O)NCc3cc(F)c(F)cc3F)cc2)c1,1800.0
CHEMBL82918,COc1ccc(COC2(C)CCC3CC2OO[C@@]3(C)CS(=O)(=O)c2ccccc2)cc1,14.0
CHEMBL369068,N=C(N)c1cccc(NC(=O)Nc2ccc(S(=O)(=O)NCc3cccc(F)c3)cc2)c1,500.0
CHEMBL278291,C[C@H]1CCCCC12OOC1(CCCC[C@H]1C)OO2,6.9
CHEMBL588619,C=C[C@H]1CN2CC[C@H]1C[C@@H]2[C@@H](O)c1ccnc2ccccc12,220.0
CHEMBL281943,C=C[C@H]1C[N@+]2(Cc3cc(C(C)(C)C)c(OC)c(C(C)(C)C)c3)CC[C@H]1C[C@H]2[C@H](OCc1ccccc1)c1ccnc2ccc(OC)cc12.[Br-],620.0
CHEMBL284604,C=CCO[C@H](c1ccnc2ccc(OC)cc12)[C@@H]1C[C@@H]2CC[N@@+]1(Cc1cc(C(C)(C)C)c(OC)c(C(C)(C)C)c1)C[C@@H]2C=C.[Br-],1000.0
CHEMBL93291,CC1CCC2(CC1)OOC1(CCC(C)CC1)OO2,8.2
